,,prix_au_m2,count,min,max,nom_commune
1000.0,Appartement,1921.3641253617277,211,563.3802816901408,5583.75,Bourg-en-Bresse
1000.0,Maison,2595.581725171559,61,870.3703703703703,10909.09090909091,Bourg-en-Bresse
1090.0,Appartement,1538.4615384615386,1,1538.4615384615386,1538.4615384615386,Montmerle-sur-Saône
1090.0,Maison,2494.011500080287,32,586.99,3947.3684210526317,Montceaux
1100.0,Appartement,1320.9846452016016,66,522.0588235294117,3385.62091503268,Oyonnax
1100.0,Maison,1883.7524006633134,39,596.8571428571429,3783.7837837837837,Oyonnax
1110.0,Appartement,1153.8661354052842,5,722.8915662650602,1579.4117647058824,Plateau d'Hauteville
1110.0,Maison,1461.636228861869,13,664.9484536082474,2700.0,Brénod
1120.0,Appartement,2578.727070175118,31,1406.25,4083.3333333333335,La Boisse
1120.0,Maison,2788.205505713743,49,673.2752808988764,6194.852380952381,Dagneux
1130.0,Appartement,1111.7192048632792,10,511.1111111111111,2025.974025974026,Nantua
1130.0,Maison,2033.1491235087221,19,638.8888888888889,5849.056603773585,Giron
1140.0,Appartement,1419.5474814464983,9,705.2631578947369,2692.3076923076924,Saint-Didier-sur-Chalaronne
1140.0,Maison,1823.5717398533584,21,683.2298136645962,2812.5,Saint-Étienne-sur-Chalaronne
1150.0,Appartement,1918.0990610094273,25,891.5094339622641,3000.0,Lagnieu
1150.0,Maison,2310.0609293146695,65,595.0413223140496,3579.5454545454545,Blyes
1160.0,Appartement,1328.5346830401593,2,667.9389312977099,1989.1304347826087,Pont-d'Ain
1160.0,Maison,2139.7389845394505,42,807.8703703703703,5925.925925925926,Neuville-sur-Ain
1170.0,Appartement,4345.974070214745,86,2207.7922077922076,6585.365853658536,Gex
1170.0,Maison,5035.731609516775,58,1562.5,7727.272727272727,Ségny
1190.0,Appartement,1599.8687799906288,7,1384.6153846153845,1852.857142857143,Pont-de-Vaux
1190.0,Maison,1639.8285769751637,40,817.3913043478261,3278.688524590164,Boz
1200.0,Appartement,2115.8573574435777,72,515.8730158730159,3794.1176470588234,Valserhône
1200.0,Maison,2827.23194478523,44,748.3888888888889,4553.0088235294115,Valserhône
1210.0,Appartement,4556.572003784646,93,1275.3623188405797,6875.0,Ferney-Voltaire
1210.0,Maison,4959.524955720675,25,2601.307894736842,7073.170731707317,Versonnex
1220.0,Appartement,5573.375390443332,70,1992.7536231884058,8318.58407079646,Divonne-les-Bains
1220.0,Maison,5464.295329253361,24,2317.5965665236054,11294.117647058823,Grilly
1230.0,Appartement,936.2687524264691,9,595.7446808510638,1176.4705882352941,Tenay
1230.0,Maison,1337.2789682716264,22,541.6666666666666,4000.0,Saint-Rambert-en-Bugey
1240.0,Appartement,1812.8664369164446,6,1033.0578512396694,2275.862068965517,Lent
1240.0,Maison,2127.903774772203,19,1217.948717948718,3561.6438356164385,Marlieux
1250.0,Appartement,2005.8248311260359,5,1250.0,2698.4126984126983,Tossiat
1250.0,Maison,1788.8931282743704,63,554.675,4125.0,Revonnas
1260.0,Appartement,2272.3944442210695,4,1691.1764705882354,3315.7894736842104,Ruffieu
1260.0,Maison,1729.3606311155606,19,662.3208695652174,3300.0,Valromey-sur-Séran
1270.0,Appartement,1223.480581039002,4,901.9607843137255,1704.5454545454545,Coligny
1270.0,Maison,1616.7163241837588,14,566.6666666666666,3424.6575342465753,Beaupont
